Area,Frontage,Access_Road,Floors,Bedrooms,Bathrooms,Price,Frontage_missing,Access_Road_missing,Floors_missing,Bedrooms_missing,Bathrooms_missing,Area_per_Bedroom,Area_per_Bathroom,Frontage_Area_ratio,Legal_status_Sale contract,Legal_status_Unknown,Furniture_state_Full,Furniture_state_Unknown,Price_log
140.0,4.5,5.5,2.0,3.0,3.0,7.8,1,1,0,0,0,35.0,35.0,0.031914893617021274,False,False,True,False,2.174751721484161
88.0,5.5,7.5,5.0,4.0,4.0,6.5,0,0,0,0,0,17.6,17.6,0.06179775280898876,False,False,False,True,2.0149030205422647
54.0,5.8,3.5,4.0,5.5,5.5,8.8,0,0,0,0,0,8.307692307692308,8.307692307692308,0.10545454545454545,False,False,True,False,2.2823823856765264
36.0,3.8,3.5,5.0,3.0,3.0,3.85,0,0,0,1,1,9.0,9.0,0.1027027027027027,False,False,False,False,1.5789787049493917
41.0,4.5,3.5,5.0,4.0,4.0,10.0,1,0,0,0,0,8.2,8.2,0.10714285714285714,False,False,True,False,2.3978952727983707
35.0,4.5,5.5,4.0,3.0,3.0,2.9,1,1,0,0,0,8.75,8.75,0.125,False,False,False,False,1.3609765531356006
46.0,4.5,7.5,3.0,1.5,1.5,4.3,1,0,1,0,0,18.4,18.4,0.09574468085106383,True,False,False,False,1.667706820558076
140.0,6.5,5.5,4.0,3.0,3.0,5.3,0,1,0,0,0,35.0,35.0,0.04609929078014184,False,False,True,False,1.840549633397487
38.0,4.5,5.5,3.0,3.0,3.0,2.1,1,1,0,0,0,9.5,9.5,0.11538461538461539,False,False,True,False,1.1314021114911006
45.0,5.0,6.0,3.0,3.0,4.0,5.95,0,0,0,0,0,11.25,9.0,0.10869565217391304,False,False,False,True,1.9387416595767009
90.0,6.0,5.5,2.0,4.0,3.0,3.2,0,1,0,0,0,18.0,22.5,0.06593406593406594,True,False,False,True,1.4350845252893227
88.0,5.5,7.5,5.0,4.0,4.0,6.6,0,0,0,0,0,17.6,17.6,0.06179775280898876,True,False,False,True,2.028148247292285
85.0,4.5,5.5,3.0,4.0,5.0,5.9,1,1,1,0,0,17.0,14.166666666666666,0.05232558139534884,False,False,False,True,1.9315214116032138
140.0,4.5,5.5,4.0,4.0,5.0,9.5,1,1,0,0,0,28.0,23.333333333333332,0.031914893617021274,False,True,False,True,2.3513752571634776
81.3,4.5,5.5,5.0,3.0,3.0,9.7,1,1,0,1,1,20.325,20.325,0.054678007290400975,False,True,False,True,2.3702437414678603
88.0,4.5,5.5,4.0,3.0,3.0,6.7,1,1,0,1,1,22.0,22.0,0.05056179775280899,True,False,False,True,2.0412203288596382
38.0,4.5,5.5,2.0,1.5,1.5,4.1,1,1,0,0,0,15.2,15.2,0.11538461538461539,False,True,False,True,1.62924053973028
40.0,4.1,6.0,4.0,3.0,4.0,7.7,0,0,0,0,0,10.0,8.0,0.09999999999999999,False,False,False,True,2.163323025660538
113.0,4.5,5.5,3.0,3.0,3.0,6.2,1,1,1,1,1,28.25,28.25,0.039473684210526314,False,False,False,True,1.9740810260220096
140.0,5.0,7.5,2.0,3.0,3.0,4.9,0,0,0,1,1,35.0,35.0,0.03546099290780142,True,False,False,True,1.7749523509116738
69.1,4.0,4.5,3.0,3.0,4.0,10.0,0,0,0,0,0,17.275,13.819999999999999,0.05706134094151213,False,False,True,False,2.3978952727983707
100.0,5.0,5.5,3.0,5.0,3.0,8.1,0,1,0,0,0,16.666666666666668,25.0,0.04950495049504951,False,True,False,True,2.2082744135228043
30.0,4.5,6.0,3.0,3.0,3.0,7.15,1,0,0,1,1,7.5,7.5,0.14516129032258066,False,False,True,False,2.0980179272527715
54.0,4.5,5.5,3.0,3.0,3.0,8.15,1,1,1,1,1,13.5,13.5,0.08181818181818182,False,True,False,True,2.21375387928743
52.7,6.5,3.5,5.0,5.5,3.0,7.6,0,0,0,0,1,8.107692307692307,13.175,0.12104283054003724,False,True,True,False,2.151762203259462
73.0,5.0,5.5,4.0,4.0,4.0,9.5,0,1,0,0,0,14.6,14.6,0.06756756756756757,False,True,False,True,2.3513752571634776
80.0,4.5,5.5,3.0,3.0,3.0,10.0,1,1,1,1,1,20.0,20.0,0.05555555555555555,False,False,False,True,2.3978952727983707
120.0,4.5,5.5,2.0,3.0,3.0,3.1,1,1,0,0,0,30.0,30.0,0.0371900826446281,False,True,False,True,1.410986973710262
82.5,4.5,7.5,4.0,4.0,3.0,5.71,1,0,0,0,0,16.5,20.625,0.05389221556886228,False,True,False,True,1.9035989509835904
52.0,4.0,3.5,4.0,4.0,4.0,6.5,0,0,0,0,0,10.4,10.4,0.07547169811320754,False,True,False,True,2.0149030205422647
45.0,6.0,3.5,4.0,4.0,4.0,7.65,0,0,0,0,0,9.0,9.0,0.13043478260869565,False,False,False,True,2.157559320943788
140.0,6.5,7.5,2.0,3.0,3.0,5.6,0,0,0,0,0,35.0,35.0,0.04609929078014184,True,False,False,True,1.8870696490323797
120.0,4.5,5.5,3.0,4.0,3.0,8.4,1,1,0,0,0,24.0,30.0,0.0371900826446281,False,True,False,True,2.2407096892759584
64.0,4.0,5.5,3.0,4.0,3.0,4.7,0,1,0,0,0,12.8,16.0,0.06153846153846154,False,False,False,True,1.7404661748405046
50.0,3.7,3.5,5.0,5.5,5.5,8.9,0,0,0,0,0,7.6923076923076925,7.6923076923076925,0.07254901960784314,False,False,False,True,2.2925347571405443
36.0,6.5,3.5,5.0,3.0,4.0,5.6,0,0,0,0,0,9.0,7.2,0.17567567567567569,False,False,True,False,1.8870696490323797
140.0,4.5,5.5,3.0,3.0,3.0,6.3,1,1,1,1,1,35.0,35.0,0.031914893617021274,False,True,False,True,1.9878743481543455
140.0,4.5,5.5,2.0,3.0,3.0,7.8,1,1,0,1,1,35.0,35.0,0.031914893617021274,True,False,False,True,2.174751721484161
99.4,4.0,5.5,2.0,3.0,2.0,9.5,0,1,0,1,0,24.85,33.13333333333333,0.0398406374501992,False,False,True,False,2.3513752571634776
33.0,4.5,5.5,5.0,3.0,3.0,4.95,1,1,0,1,1,8.25,8.25,0.1323529411764706,False,False,False,False,1.7833912195575383
100.0,4.5,5.5,3.0,3.0,3.0,7.5,1,1,1,1,1,25.0,25.0,0.04455445544554455,False,True,False,True,2.1400661634962708
