Feature,Importance
Bathrooms,0.3392980024655755
Area,0.19007731963055707
Floors,0.13509693137980863
Access_Road,0.06132288689468669
Bedrooms,0.05189838730762405
Frontage_Area_ratio,0.04945321701788817
Frontage,0.028695830419631866
Area_per_Bathroom,0.028664015071725914
Area_per_Bedroom,0.026056684643668154
Bedrooms_missing,0.015505946183473425
Floors_missing,0.015242701844147733
Legal_status_Sale contract,0.014694814979412281
Furniture_state_Full,0.012445233473864791
Furniture_state_Unknown,0.011748975672583347
Bathrooms_missing,0.011542653014624952
Legal_status_Unknown,0.002934226084293218
Access_Road_missing,0.002729618620435198
Frontage_missing,0.002592555295999065
