Area,Frontage,Access_Road,Floors,Bedrooms,Bathrooms,Legal_status,Furniture_state,Price,Frontage_missing,Access_Road_missing,Floors_missing,Bedrooms_missing,Bathrooms_missing,Area_per_Bedroom,Area_per_Bathroom,Frontage_Area_ratio
35.0,4.5,5.5,4.0,3.0,3.0,Have certificate,Basic,2.9,1,1,0,0,0,8.75,8.75,0.125
46.0,4.5,7.5,3.0,1.5,1.5,Sale contract,Basic,4.3,1,0,1,0,0,18.4,18.4,0.09574468085106383
140.0,6.5,5.5,4.0,3.0,3.0,Have certificate,Full,5.3,0,1,0,0,0,35.0,35.0,0.04609929078014184
38.0,4.5,5.5,3.0,3.0,3.0,Have certificate,Full,2.1,1,1,0,0,0,9.5,9.5,0.11538461538461539
45.0,5.0,6.0,3.0,3.0,4.0,Have certificate,Unknown,5.95,0,0,0,0,0,11.25,9.0,0.10869565217391304
90.0,6.0,5.5,2.0,4.0,3.0,Sale contract,Unknown,3.2,0,1,0,0,0,18.0,22.5,0.06593406593406594
88.0,5.5,7.5,5.0,4.0,4.0,Sale contract,Unknown,6.6,0,0,0,0,0,17.6,17.6,0.06179775280898876
85.0,4.5,5.5,3.0,4.0,5.0,Have certificate,Unknown,5.9,1,1,1,0,0,17.0,14.166666666666666,0.05232558139534884
140.0,4.5,5.5,4.0,4.0,5.0,Unknown,Unknown,9.5,1,1,0,0,0,28.0,23.333333333333332,0.031914893617021274
81.3,4.5,5.5,5.0,3.0,3.0,Unknown,Unknown,9.7,1,1,0,1,1,20.325,20.325,0.054678007290400975
88.0,4.5,5.5,4.0,3.0,3.0,Sale contract,Unknown,6.7,1,1,0,1,1,22.0,22.0,0.05056179775280899
38.0,4.5,5.5,2.0,1.5,1.5,Unknown,Unknown,4.1,1,1,0,0,0,15.2,15.2,0.11538461538461539
40.0,4.1,6.0,4.0,3.0,4.0,Have certificate,Unknown,7.7,0,0,0,0,0,10.0,8.0,0.09999999999999999
113.0,4.5,5.5,3.0,3.0,3.0,Have certificate,Unknown,6.2,1,1,1,1,1,28.25,28.25,0.039473684210526314
140.0,5.0,7.5,2.0,3.0,3.0,Sale contract,Unknown,4.9,0,0,0,1,1,35.0,35.0,0.03546099290780142
69.1,4.0,4.5,3.0,3.0,4.0,Have certificate,Full,10.0,0,0,0,0,0,17.275,13.819999999999999,0.05706134094151213
100.0,5.0,5.5,3.0,5.0,3.0,Unknown,Unknown,8.1,0,1,0,0,0,16.666666666666668,25.0,0.04950495049504951
30.0,4.5,6.0,3.0,3.0,3.0,Have certificate,Full,7.15,1,0,0,1,1,7.5,7.5,0.14516129032258066
54.0,4.5,5.5,3.0,3.0,3.0,Unknown,Unknown,8.15,1,1,1,1,1,13.5,13.5,0.08181818181818182
52.7,6.5,3.5,5.0,5.5,3.0,Unknown,Full,7.6,0,0,0,0,1,8.107692307692307,13.175,0.12104283054003724
73.0,5.0,5.5,4.0,4.0,4.0,Unknown,Unknown,9.5,0,1,0,0,0,14.6,14.6,0.06756756756756757
80.0,4.5,5.5,3.0,3.0,3.0,Have certificate,Unknown,10.0,1,1,1,1,1,20.0,20.0,0.05555555555555555
120.0,4.5,5.5,2.0,3.0,3.0,Unknown,Unknown,3.1,1,1,0,0,0,30.0,30.0,0.0371900826446281
82.5,4.5,7.5,4.0,4.0,3.0,Unknown,Unknown,5.71,1,0,0,0,0,16.5,20.625,0.05389221556886228
52.0,4.0,3.5,4.0,4.0,4.0,Unknown,Unknown,6.5,0,0,0,0,0,10.4,10.4,0.07547169811320754
45.0,6.0,3.5,4.0,4.0,4.0,Have certificate,Unknown,7.65,0,0,0,0,0,9.0,9.0,0.13043478260869565
140.0,6.5,7.5,2.0,3.0,3.0,Sale contract,Unknown,5.6,0,0,0,0,0,35.0,35.0,0.04609929078014184
120.0,4.5,5.5,3.0,4.0,3.0,Unknown,Unknown,8.4,1,1,0,0,0,24.0,30.0,0.0371900826446281
64.0,4.0,5.5,3.0,4.0,3.0,Have certificate,Unknown,4.7,0,1,0,0,0,12.8,16.0,0.06153846153846154
